t=2026-09-24T20:37:35+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-24T20:37:35+0530 lvl=info msg="using configuration at default config path" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml"
t=2026-09-24T20:37:35+0530 lvl=info msg="open config file" path="/Users/ramavathvarun/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-09-24T20:55:54+0530 lvl=info msg="join connections" obj=join id=c7f57218b3d8 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:55:57+0530 lvl=info msg="join connections" obj=join id=57bd312f4d38 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:00+0530 lvl=info msg="join connections" obj=join id=a487f00ea376 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:03+0530 lvl=info msg="join connections" obj=join id=22c9b765fb1f l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:06+0530 lvl=info msg="join connections" obj=join id=85f2fe72103b l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:09+0530 lvl=info msg="join connections" obj=join id=58fec1d8b834 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:09+0530 lvl=info msg="join connections" obj=join id=c071cad27f32 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:10+0530 lvl=info msg="join connections" obj=join id=fa464f90ad8f l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:12+0530 lvl=info msg="join connections" obj=join id=b145fdc526ab l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:15+0530 lvl=info msg="join connections" obj=join id=9b4fa4723c78 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:18+0530 lvl=info msg="join connections" obj=join id=a4a0eec3b83b l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:21+0530 lvl=info msg="join connections" obj=join id=9b4c941a15e1 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:24+0530 lvl=info msg="join connections" obj=join id=1b1e5125e50a l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:27+0530 lvl=info msg="join connections" obj=join id=4e1d965b5ba2 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:30+0530 lvl=info msg="join connections" obj=join id=c1c90933bcd3 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:33+0530 lvl=info msg="join connections" obj=join id=f91521e265df l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:36+0530 lvl=info msg="join connections" obj=join id=a9e27521e797 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:39+0530 lvl=info msg="join connections" obj=join id=c44a0644968e l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:39+0530 lvl=info msg="join connections" obj=join id=fd9ce226a795 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:42+0530 lvl=info msg="join connections" obj=join id=d508987cd4e5 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:45+0530 lvl=info msg="join connections" obj=join id=d2aee7f77c75 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:49+0530 lvl=info msg="join connections" obj=join id=204bd4a18a94 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:51+0530 lvl=info msg="join connections" obj=join id=13af2e21f8da l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T20:56:54+0530 lvl=info msg="join connections" obj=join id=17646c0229c3 l=127.0.0.1:5001 r=106.192.16.111:37564
t=2026-09-24T21:02:29+0530 lvl=info msg="join connections" obj=join id=5007e2b6678e l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:29+0530 lvl=info msg="join connections" obj=join id=6ad03bf0390d l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:29+0530 lvl=info msg="join connections" obj=join id=4a8c93df9999 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:30+0530 lvl=info msg="join connections" obj=join id=b8774604c14b l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:30+0530 lvl=info msg="join connections" obj=join id=770aa2f3e217 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:30+0530 lvl=info msg="join connections" obj=join id=00b706616c41 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:32+0530 lvl=info msg="join connections" obj=join id=efb22df04a4c l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:32+0530 lvl=info msg="join connections" obj=join id=5239a6c7de3c l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:32+0530 lvl=info msg="join connections" obj=join id=f1b9965b5bf4 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:33+0530 lvl=info msg="join connections" obj=join id=33b0e0720d05 l=127.0.0.1:5001 r=106.192.16.111:38954
t=2026-09-24T21:02:33+0530 lvl=info msg="join connections" obj=join id=081effd94723 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:33+0530 lvl=info msg="join connections" obj=join id=3b04c6e6ead8 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:34+0530 lvl=info msg="join connections" obj=join id=b6a4ed98c8fb l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:35+0530 lvl=info msg="join connections" obj=join id=71f096013a01 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:38+0530 lvl=info msg="join connections" obj=join id=5cfefbfe9232 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:41+0530 lvl=info msg="join connections" obj=join id=7747760fae2b l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:44+0530 lvl=info msg="join connections" obj=join id=8e5426a9ab2d l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:47+0530 lvl=info msg="join connections" obj=join id=e59bef796bf4 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:50+0530 lvl=info msg="join connections" obj=join id=cca512f20bbc l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:53+0530 lvl=info msg="join connections" obj=join id=ef78d1518c3a l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:56+0530 lvl=info msg="join connections" obj=join id=0b852eef8c50 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:02:59+0530 lvl=info msg="join connections" obj=join id=a99eab514381 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:02+0530 lvl=info msg="join connections" obj=join id=917ed77d6b83 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:02+0530 lvl=info msg="join connections" obj=join id=cbdb3161859d l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:05+0530 lvl=info msg="join connections" obj=join id=22e6d76163f6 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:08+0530 lvl=info msg="join connections" obj=join id=18e40a1f4254 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:10+0530 lvl=info msg="join connections" obj=join id=85711516abea l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:11+0530 lvl=info msg="join connections" obj=join id=84fd5703bf96 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:14+0530 lvl=info msg="join connections" obj=join id=e56b053b0d75 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:17+0530 lvl=info msg="join connections" obj=join id=086830026a98 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:20+0530 lvl=info msg="join connections" obj=join id=805a82fdaf0a l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:23+0530 lvl=info msg="join connections" obj=join id=4766616dfb5f l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:26+0530 lvl=info msg="join connections" obj=join id=4b7823a5280b l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:29+0530 lvl=info msg="join connections" obj=join id=399f0eab5568 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:32+0530 lvl=info msg="join connections" obj=join id=0851e261fe85 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:32+0530 lvl=info msg="join connections" obj=join id=8e79b6fdea42 l=127.0.0.1:5001 r=106.192.16.111:38950
t=2026-09-24T21:03:33+0530 lvl=info msg="join connections" obj=join id=2765765c8031 l=127.0.0.1:5001 r=106.192.16.111:38950
